Manufactuer,Discription,Capacaty,RPM,Interface,Cache,Class
HGST,"Hitachi GST Deskstar 7K1000 HDS721010KLA330 (0A35155) 1TB 7200 RPM 32MB Cache SATA 3.0Gb/s 3.5"" Hard Drive Bare Drive Hitachi GST Deskstar 7K1000 HDS721010KLA330 (0A35155) 1TB 7200 RPM 32MB Cache SATA 3.0Gb/s 3.5"" Hard Drive Bare Drive",1024,7200,SATA 3.0Gb/s,32,
Seagate,"Seagate Barracuda 5400.1 ST340015A 40GB 5400 RPM 2MB Cache IDE Ultra ATA100 / ATA-6 3.5"" Hard Drive Bare Drive Seagate Barracuda 5400.1 ST340015A 40GB 5400 RPM 2MB Cache IDE Ultra ATA100 / ATA-6 3.5"" Hard Drive Bare Drive",40,15000,IDE Ultra ,2,Barracuda
Hewlett-Packard,MSA 300GB 12G SAS 15K 3.5IN CC HDD MSA 300GB 12G SAS 15K 3.5IN CC HDD,300,15000,SAS 12.0Gb/s,,
Axiom,"Axiom 4XB0F28714-AX 3TB 7200 RPM SATA 6.0Gb/s 3.5"" Enterprise Internal Hard Drive Axiom 4XB0F28714-AX 3TB 7200 RPM SATA 6.0Gb/s 3.5"" Enterprise Internal Hard Drive",3000,7200,SATA 6.0Gb/s,,
Western Digital,Western Digital 250 GB Caviar Blue SATA 3 Gb/s 7200 RPM 16 MB Cache Bulk/OEM Desktop Hard Drive - WD2500AAKS Western Digital 250 GB Caviar Blue SATA 3 Gb/s 7200 RPM 16 MB Cache Bulk/OEM Desktop Hard Drive - WD2500AAKS,250,7200,SATA 3.0Gb/s,16,Caviar Blue
Hewlett-Packard,"HP Entry 571232-B21 250GB 7200 RPM SATA 3.0Gb/s 3.5"" Internal Hard Drive HP Entry 571232-B21 250GB 7200 RPM SATA 3.0Gb/s 3.5"" Internal Hard Drive",250,7200,SATA 3.0Gb/s,,
DELL,"Dell 342-1818 - 2TB 3.5"" SAS 7.2K 6Gb/s HS Hard Drive Dell 342-1818 - 2TB 3.5"" SAS 7.2K 6Gb/s HS Hard Drive",2048,7200,SAS 6.0Gb/s,,
Toshiba,"TOSHIBA DT01ACA100 1TB 32MB Cache SATA 3 (6.0 Gb/S) 3.5"" Internal Hard Drive Bare Drive TOSHIBA DT01ACA100 1TB 32MB Cache SATA 3 (6.0 Gb/S) 3.5"" Internal Hard Drive Bare Drive",1024,,SATA 6.0Gb/s,32,
Western Digital,"WD Purple WD50PURX 5TB 64MB Cache SATA 6.0Gb/s 3.5"" Internal Surveillance Hard Drive Bare Drive WD Purple WD50PURX 5TB 64MB Cache SATA 6.0Gb/s 3.5"" Internal Surveillance Hard Drive Bare Drive",5000,,SATA 6.0Gb/s,64,Purple
DELL,"Dell 342-2093 - 500GB 2.5"" Near Line SAS 7.2K 6Gb/s HS Hard Drive Dell 342-2093 - 500GB 2.5"" Near Line SAS 7.2K 6Gb/s HS Hard Drive",500,7200,SAS 6.0Gb/s,,
DELL,"Dell 342-2003 - 1TB 2.5"" SAS 7.2K 6Gb/s HS Hard Drive Dell 342-2003 - 1TB 2.5"" SAS 7.2K 6Gb/s HS Hard Drive",1024,7200,SAS 6.0Gb/s,,
Toshiba,TOSHIBA PH3500U-1I72 5TB 7200 RPM 128MB Cache Serial ATA 3.0 (SATA) Desktop Internal Hard Drive TOSHIBA PH3500U-1I72 5TB 7200 RPM 128MB Cache Serial ATA 3.0 (SATA) Desktop Internal Hard Drive,5000,7200,SATA 3.0Gb/s,128,
DELL,"Dell 342-2973 - 900GB 2.5"" SAS 10K 6Gb/s HS Hard Drive Dell 342-2973 - 900GB 2.5"" SAS 10K 6Gb/s HS Hard Drive",900,10000,SAS 12.0Gb/s,,
IBM,"IBM 81Y9799 - 3TB 3.5"" Near Line SATA 7.2K 6Gb/s HS Hard Drive IBM 81Y9799 - 3TB 3.5"" Near Line SATA 7.2K 6Gb/s HS Hard Drive",3000,7200,SAS 6.0Gb/s,,
DELL,"Dell 342-4136 - 900GB 2.5"" SAS 10K 6Gb/s HS Secure Encrypted Drive Dell 342-4136 - 900GB 2.5"" SAS 10K 6Gb/s HS Secure Encrypted Drive",900,10000,SAS 12.0Gb/s,,
DELL,"Dell 342-2105 - 2TB 3.5"" Near Line SAS 7.2K 6Gb/s HS Hard Drive Dell 342-2105 - 2TB 3.5"" Near Line SAS 7.2K 6Gb/s HS Hard Drive",2048,7200,SAS 6.0Gb/s,,
HGST,"Hitachi GST Deskstar 7K160 HDS721616PLA380 (0Y30006) 160GB 7200 RPM 8MB Cache SATA 3.0Gb/s 3.5"" Hard Drive Bare Drive Hitachi GST Deskstar 7K160 HDS721616PLA380 (0Y30006) 160GB 7200 RPM 8MB Cache SATA 3.0Gb/s 3.5"" Hard Drive Bare Drive",160,7200,SATA 3.0Gb/s,8,
IBM,"IBM 42D0633 146GB 10000 RPM SAS 6Gb/s 2.5"" Internal Hard Drive IBM 42D0633 146GB 10000 RPM SAS 6Gb/s 2.5"" Internal Hard Drive",146,10000,SAS 6.0Gb/s,,
Toshiba,"TOSHIBA MG03SCA200 2TB 7200 RPM 64MB Cache SAS 6Gb/s 3.5"" Internal Hard Drive Bare Drive TOSHIBA MG03SCA200 2TB 7200 RPM 64MB Cache SAS 6Gb/s 3.5"" Internal Hard Drive Bare Drive",2048,7200,SAS 6.0Gb/s,64,
Axiom,"Axiom 1 TB 3.5"" Internal Hard Drive Axiom 1 TB 3.5"" Internal Hard Drive",1024,,,,
Seagate,"Seagate ST1000NX0303 2.5"" 1TB SATA 6Gb/s 7.2K RPM 4kN 128MB Internal Enterprise Hard Drive Seagate ST1000NX0303 2.5"" 1TB SATA 6Gb/s 7.2K RPM 4kN 128MB Internal Enterprise Hard Drive",1024,7200,SATA 6.0Gb/s,128,Enterprise
Hewlett-Packard,"HP 652584-B21 - 600GB 2.5"" SAS 10K 6Gb/s SC Enterprise Hard Drive HP 652584-B21 - 600GB 2.5"" SAS 10K 6Gb/s SC Enterprise Hard Drive",600,10000,SAS 12.0Gb/s,,
HGST,"Hitachi GST Ultrastar 10K300 HUS103014FL3800 (17R6433) 147GB 10000 RPM 8MB Cache SCSI Ultra320 80pin 3.5"" Hard Drive Bare Drive Hitachi GST Ultrastar 10K300 HUS103014FL3800 (17R6433) 147GB 10000 RPM 8MB Cache SCSI Ultra320 80pin 3.5"" Hard Drive Bare Drive",147,10000,SCSI Ultra,8,
IBM,"IBM 85Y5863 - 450GB 2.5"" SAS 10K 6Gb/s HS Hard Drive IBM 85Y5863 - 450GB 2.5"" SAS 10K 6Gb/s HS Hard Drive",450,10000,SAS 12.0Gb/s,,
IBM,"IBM 00AR114 - 300GB 3.5"" SAS 15K 6Gb/s HS Hard Drive IBM 00AR114 - 300GB 3.5"" SAS 15K 6Gb/s HS Hard Drive",300,15000,SAS 12.0Gb/s,,
Western Digital,"Western Digital RE WD3001FYYG 3TB 7200 RPM 32MB Cache SAS 6Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive Western Digital RE WD3001FYYG 3TB 7200 RPM 32MB Cache SAS 6Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive",3000,7200,SAS 6.0Gb/s,32,RE
IBM,"IBM 42D0777 1TB 7200 RPM SAS 600 Serial Attached SCSI 3.5"" Internal Hard Drive IBM 42D0777 1TB 7200 RPM SAS 600 Serial Attached SCSI 3.5"" Internal Hard Drive",1024,7200,SCSI Ultra,,
DELL,"Dell 342-4929 - 600GB 2.5"" SAS 10K 6Gb/s HS Hard Drive Dell 342-4929 - 600GB 2.5"" SAS 10K 6Gb/s HS Hard Drive",600,10000,SAS 12.0Gb/s,,
IBM,"IBM 00Y5148 - 4TB 3.5"" Near Line SAS 7.2K 6Gb/s HS Hard Drive IBM 00Y5148 - 4TB 3.5"" Near Line SAS 7.2K 6Gb/s HS Hard Drive",4000,7200,SAS 6.0Gb/s,,
Western Digital,"Western Digital WD Green WD20EARS 2TB 64MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive Bare Drive Western Digital WD Green WD20EARS 2TB 64MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive Bare Drive",2048,,SATA 3.0Gb/s,64,Green
Hewlett-Packard,"HP 537809-S21 - 300GB 2.5"" SAS 10K 6Gb/s HS Midline Dual Port Hard Drive HP 537809-S21 - 300GB 2.5"" SAS 10K 6Gb/s HS Midline Dual Port Hard Drive",300,10000,SAS 12.0Gb/s,,
DELL,"Dell 341-9629 600GB 15000 RPM Serial Attached SCSI 3.5"" Internal Hard Drive Dell 341-9629 600GB 15000 RPM Serial Attached SCSI 3.5"" Internal Hard Drive",600,15000,SCSI Ultra,,
Seagate,"Seagate Barracuda 7200.7 ST380817AS 80GB 7200 RPM 8MB Cache SATA 1.5Gb/s 3.5"" Hard Drive Bare Drive Seagate Barracuda 7200.7 ST380817AS 80GB 7200 RPM 8MB Cache SATA 1.5Gb/s 3.5"" Hard Drive Bare Drive",1500,7200,SATA 1.5Gb/s,8,Barracuda
Seagate,"Seagate ST900MM0128 900GB 10000 RPM 128MB Cache SAS 12Gb/s 2.5"" Internal Hard Drive Seagate ST900MM0128 900GB 10000 RPM 128MB Cache SAS 12Gb/s 2.5"" Internal Hard Drive",900,10000,SAS 12.0Gb/s,128,ST
Seagate,"Seagate Constellation ES ST3500514NS 500GB 7200 RPM 32MB Cache SATA 3.0Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive Seagate Constellation ES ST3500514NS 500GB 7200 RPM 32MB Cache SATA 3.0Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive",500,7200,SATA 3.0Gb/s,32,Constellation
Western Digital,"Western Digital WD Green WD5000AZRX 500GB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive Western Digital WD Green WD5000AZRX 500GB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive",500,IntelliPower,SATA 6.0Gb/s,64,Green
IBM,"IBM 00Y5147 - 4TB 3.5"" Near Line SAS 7.2K 6Gb/s HS Hard Drive IBM 00Y5147 - 4TB 3.5"" Near Line SAS 7.2K 6Gb/s HS Hard Drive",4000,7200,SAS 6.0Gb/s,,
HGST,"HGST Ultrastar 7K3000 HUA723020ALA640 (0F12455) 2TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Enterprisel Hard Drive Bare Drive HGST Ultrastar 7K3000 HUA723020ALA640 (0F12455) 2TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Enterprisel Hard Drive Bare Drive",2048,7200,SATA 6.0Gb/s,64,
FUJITSU - Storage/Hard Drive,"Fujitsu MAX3073RC 73GB 15000 RPM 16MB Cache Serial Attached SCSI (SAS) 3.5"" Hard Drive Bare Drive Fujitsu MAX3073RC 73GB 15000 RPM 16MB Cache Serial Attached SCSI (SAS) 3.5"" Hard Drive Bare Drive",73,15000,SCSI Ultra,16,
Toshiba,"Toshiba MK2002TSKB 2 TB 3.5"" Internal Hard Drive Toshiba MK2002TSKB 2 TB 3.5"" Internal Hard Drive",2048,,,,
SanDisk,"SanDisk CloudSpeed Ultra 800 GB 2.5"" Internal Solid State Drive SanDisk CloudSpeed Ultra 800 GB 2.5"" Internal Solid State Drive",800,,,,
Western Digital,"Western Digital WD VelociRaptor WD5000HHTZ 500GB 10000 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive - OEM Western Digital WD VelociRaptor WD5000HHTZ 500GB 10000 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive - OEM",500,10000,SATA 6.0Gb/s,64,VelociRaptor
Hewlett-Packard,"HP C8S59SB 900GB 10000 RPM SAS 6Gb/s 2.5"" Internal Hard Drive HP C8S59SB 900GB 10000 RPM SAS 6Gb/s 2.5"" Internal Hard Drive",900,10000,SAS 6.0Gb/s,,
Maxtor,"Maxtor Atlas 15K 8C036L0 36.7GB 15000 RPM 8MB Cache SCSI Ultra320 68pin 3.5"" Hard Drive Bare Drive Maxtor Atlas 15K 8C036L0 36.7GB 15000 RPM 8MB Cache SCSI Ultra320 68pin 3.5"" Hard Drive Bare Drive",36,15000,SCSI Ultra,8,
Seagate,"Seagate Pipeline HD.2 ST3250412CS 250GB 5900 RPM 8MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive -OEM w/1 Year Warranty Seagate Pipeline HD.2 ST3250412CS 250GB 5900 RPM 8MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive -OEM w/1 Year Warranty",250,5900,SATA 3.0Gb/s,8,Pipeline
Seagate,"Seagate ST2000NM0054 2TB 7200 RPM 128MB Cache SAS 12Gb/s 3.5"" SED Enterprise Hard Drive Bare Drive Seagate ST2000NM0054 2TB 7200 RPM 128MB Cache SAS 12Gb/s 3.5"" SED Enterprise Hard Drive Bare Drive",2048,7200,SAS 12.0Gb/s,128,Enterprise
Hewlett-Packard,"HP 652757-B21 2TB 7200 RPM SAS 6Gb/s 3.5"" LFF SC Midline Hard Drive HP 652757-B21 2TB 7200 RPM SAS 6Gb/s 3.5"" LFF SC Midline Hard Drive",2048,7200,SAS 6.0Gb/s,,
Seagate,"Seagate Barracuda 7200.12 ST31000528AS 1TB 7200 RPM 32MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive Bare Drive Seagate Barracuda 7200.12 ST31000528AS 1TB 7200 RPM 32MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive Bare Drive",1024,7200,SATA 3.0Gb/s,32,Barracuda
Seagate,"Seagate Barracuda 7200.8 ST3300831A 300GB 7200 RPM 8MB Cache IDE Ultra ATA100 / ATA-6 3.5"" Hard Drive Bare Drive Seagate Barracuda 7200.8 ST3300831A 300GB 7200 RPM 8MB Cache IDE Ultra ATA100 / ATA-6 3.5"" Hard Drive Bare Drive",300,7200,IDE Ultra ,8,Barracuda
Axiom,Axiom 458928-B21-AX 500 GB 3.5' Internal Hard Drive Axiom 458928-B21-AX 500 GB 3.5' Internal Hard Drive,500,,,,
FUJITSU - Storage/Hard Drive,"Fujitsu MAU3073NC 73GB 15000 RPM 8MB Cache SCSI Ultra320 80pin 3.5"" Hard Drive Bare Drive Fujitsu MAU3073NC 73GB 15000 RPM 8MB Cache SCSI Ultra320 80pin 3.5"" Hard Drive Bare Drive",73,15000,SCSI Ultra,8,
DELL,"Dell 342-5751 - 300GB 2.5"" SAS 15K 6Gb/s HS Hard Drive Dell 342-5751 - 300GB 2.5"" SAS 15K 6Gb/s HS Hard Drive",300,15000,SAS 12.0Gb/s,,
IBM,"IBM 90Y8569 - 1TB 3.5"" Near Line SAS 7.2K 6Gb/s HS Hard Drive IBM 90Y8569 - 1TB 3.5"" Near Line SAS 7.2K 6Gb/s HS Hard Drive",1024,7200,SAS 6.0Gb/s,,
DELL,"Dell 342-2082 600GB 15000RPM SAS 3.5"" Serial Attached SCSI Hot Plug Hard Drive for Dell PowerEdge 2900/ 2970/ R300/ R900/ R905/ T300 Servers Dell 342-2082 600GB 15000RPM SAS 3.5"" Serial Attached SCSI Hot Plug Hard Drive for Dell PowerEdge 2900/ 2970/ R300/ R900/ R905/ T300 Servers",600,,SCSI Ultra,,
IBM,"IBM 44W2234 300GB 15000 RPM SAS 6Gb/s 3.5"" Internal Hard Drive IBM 44W2234 300GB 15000 RPM SAS 6Gb/s 3.5"" Internal Hard Drive",300,15000,SAS 6.0Gb/s,,
Western Digital,"Western Digital Blue WD1600AAJB 160GB 7200 RPM 8MB Cache IDE Ultra ATA100 / ATA-6 3.5"" Internal Hard Drive Bare Drive Western Digital Blue WD1600AAJB 160GB 7200 RPM 8MB Cache IDE Ultra ATA100 / ATA-6 3.5"" Internal Hard Drive Bare Drive",160,7200,IDE Ultra ,8,Blue
Axiom,"Axiom 3 TB 3.5"" Internal Hard Drive Axiom 3 TB 3.5"" Internal Hard Drive",3000,,,,
Western Digital,"Western Digital (WD3200JS) 320GB 7200 RPM 3.5"" SATA2 Hard Drive -PC/Mac/CCTV/DVR Western Digital (WD3200JS) 320GB 7200 RPM 3.5"" SATA2 Hard Drive -PC/Mac/CCTV/DVR",320,7200,SAS 3.0Gb/s,,
Seagate,"Seagate ST6000NM0004 6TB 7200 RPM 128MB Cache SATA 6.0Gb/s 3.5"" Enterprise Hard Drive Bare Drive Seagate ST6000NM0004 6TB 7200 RPM 128MB Cache SATA 6.0Gb/s 3.5"" Enterprise Hard Drive Bare Drive",6000,7200,SATA 6.0Gb/s,128,Enterprise
Seagate,4tb 5900 Rpm Sata 3.5 Hd 4tb 5900 Rpm Sata 3.5 Hd,4000,5900,,,ST
HGST,"Hitachi Deskstar 5K1000 HDS5C1050CLA382 (0F12955) 500GB 8MB Cache 7200RPM SATA 3.0Gb/s 3.5"" Internal Desktop Hard Drive - w/ 1 Year Warranty Hitachi Deskstar 5K1000 HDS5C1050CLA382 (0F12955) 500GB 8MB Cache 7200RPM SATA 3.0Gb/s 3.5"" Internal Desktop Hard Drive - w/ 1 Year Warranty",500,7200,SATA 3.0Gb/s,8,
IBM,"IBM 74Y9286 - 900GB 2.5"" SAS 10K 6Gb/s HS Hard Drive IBM 74Y9286 - 900GB 2.5"" SAS 10K 6Gb/s HS Hard Drive",900,10000,SAS 12.0Gb/s,,
Western Digital,"Western Digital Blue WD3200AAKX 320GB 7200 RPM 16MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive Western Digital Blue WD3200AAKX 320GB 7200 RPM 16MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive",320,7200,SATA 6.0Gb/s,16,Blue
Western Digital,Western Digital WD2500JB Caviar SE EIDE 250 GB Hard Drive Western Digital WD2500JB Caviar SE EIDE 250 GB Hard Drive,250,,,,Caviar Se
IBM,"IBM 74Y9289 - 600GB 2.5"" SAS 10K 6Gb/s HS Hard Drive IBM 74Y9289 - 600GB 2.5"" SAS 10K 6Gb/s HS Hard Drive",600,10000,SAS 12.0Gb/s,,
DELL,"Dell 342-2011 - 300GB 2.5"" SAS 10K 6Gb/s HS Hard Drive Dell 342-2011 - 300GB 2.5"" SAS 10K 6Gb/s HS Hard Drive",300,10000,SAS 12.0Gb/s,,
DELL,"Dell 342-5361 - 600GB 2.5"" SAS 10K 6Gb/s HS Hard Drive Dell 342-5361 - 600GB 2.5"" SAS 10K 6Gb/s HS Hard Drive",600,10000,SAS 12.0Gb/s,,
SAMSUNG,"SAMSUNG SpinPoint P Series SP0411C 40GB 7200 RPM 2MB Cache SATA 1.5Gb/s 3.5"" Hard Drive Bare Drive SAMSUNG SpinPoint P Series SP0411C 40GB 7200 RPM 2MB Cache SATA 1.5Gb/s 3.5"" Hard Drive Bare Drive",1500,7200,SATA 1.5Gb/s,2,
IBM,"IBM 44W2241 - 450GB 3.5"" SAS 15K 6Gb/s HS Hard Drive IBM 44W2241 - 450GB 3.5"" SAS 15K 6Gb/s HS Hard Drive",450,15000,SAS 12.0Gb/s,,
Axiom,Axiom AXD-PE50072SD 500 GB 3.5' Internal Hard Drive Axiom AXD-PE50072SD 500 GB 3.5' Internal Hard Drive,500,,,,
Western Digital,"Western Digital AV-GP WD10EURS 1TB 64MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive Bare Drive Western Digital AV-GP WD10EURS 1TB 64MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive Bare Drive",1024,,SATA 3.0Gb/s,64,AV-GP
Lenovo,LENOVO SERVER 4XB0G45723 2.5 600GB 10K ES SAS 6GBPS HS LENOVO SERVER 4XB0G45723 2.5 600GB 10K ES SAS 6GBPS HS,600,10000,SATA 6.0Gb/s,,
IBM,"IBM 49Y1869 - 600GB 3.5"" SAS 15K 6Gb/s HS Hard Drive IBM 49Y1869 - 600GB 3.5"" SAS 15K 6Gb/s HS Hard Drive",600,15000,SAS 12.0Gb/s,,
IBM,"IBM 74Y9283 - 600GB 2.5"" SAS 10K 6Gb/s HS Hard Drive IBM 74Y9283 - 600GB 2.5"" SAS 10K 6Gb/s HS Hard Drive",600,10000,SAS 12.0Gb/s,,
Western Digital,"Western Digital AV-GP WD2500AVVS 250GB 8MB Cache SATA 3.0Gb/s 3.5"" Internal AV Hard Drive Bare Drive Western Digital AV-GP WD2500AVVS 250GB 8MB Cache SATA 3.0Gb/s 3.5"" Internal AV Hard Drive Bare Drive",250,,SATA 3.0Gb/s,8,AV-GP
Lenovo,Lenovo 67Y2643 2 TB 3.5' Internal Hard Drive Lenovo 67Y2643 2 TB 3.5' Internal Hard Drive,2048,,,,
SAMSUNG,"SAMSUNG F1R RAID-Class HE103UJ 1TB 7200 RPM 32MB Cache SATA 3.0Gb/s 3.5"" Hard Drive Bare Drive SAMSUNG F1R RAID-Class HE103UJ 1TB 7200 RPM 32MB Cache SATA 3.0Gb/s 3.5"" Hard Drive Bare Drive",1024,7200,SATA 3.0Gb/s,32,
Seagate,"Seagate Cheetah 15K.7 ST3450857SS 450GB 15000 RPM 16MB Cache SAS 6Gb/s 3.5"" Internal Enterprise Hard Drive Bare Drive Seagate Cheetah 15K.7 ST3450857SS 450GB 15000 RPM 16MB Cache SAS 6Gb/s 3.5"" Internal Enterprise Hard Drive Bare Drive",450,15000,SAS 6.0Gb/s,16,Cheetah
Seagate,"Seagate ST2000NX0253 2TB 7200 RPM 128MB Cache SATA 6.0Gb/s 2.5"" Internal Hard Drive Seagate ST2000NX0253 2TB 7200 RPM 128MB Cache SATA 6.0Gb/s 2.5"" Internal Hard Drive",2048,7200,SATA 6.0Gb/s,128,ST
Seagate,"Seagate Cheetah 10K.7 ST3146707LC 147GB 10000 RPM 8MB Cache SCSI Ultra320 80pin 3.5"" Hard Drive Bare Drive Seagate Cheetah 10K.7 ST3146707LC 147GB 10000 RPM 8MB Cache SCSI Ultra320 80pin 3.5"" Hard Drive Bare Drive",147,10000,SCSI Ultra,8,Cheetah
Seagate,"Seagate SV35.6 Series ST3000VX000 3TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Surveillance Hard Drive Bare Drive Seagate SV35.6 Series ST3000VX000 3TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Surveillance Hard Drive Bare Drive",3000,7200,SATA 6.0Gb/s,64,Surveillance
Seagate,Seagate Surveillance HDD ST6000VX0011 6TB 128MB Cache SATA 6.0Gb/s Internal Hard Drive + Rescue Data Recovery Services Seagate Surveillance HDD ST6000VX0011 6TB 128MB Cache SATA 6.0Gb/s Internal Hard Drive + Rescue Data Recovery Services,6000,,SATA 6.0Gb/s,128,Surveillance
Hewlett-Packard,HP 625031-B21 3 TB 3.5' Internal Hard Drive HP 625031-B21 3 TB 3.5' Internal Hard Drive,3000,,,,
Seagate,"Seagate Surveillance HDD ST1000VX003 1TB 5900 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive + Rescue Data Recoery Services Seagate Surveillance HDD ST1000VX003 1TB 5900 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive + Rescue Data Recoery Services",1024,5900,SATA 6.0Gb/s,64,Surveillance
HGST,"Hitachi GST Deskstar 7K80 HDS728080PLA380 (0A30356) 80GB 7200 RPM 8MB Cache SATA 3.0Gb/s 3.5"" Hard Drive Bare Drive Hitachi GST Deskstar 7K80 HDS728080PLA380 (0A30356) 80GB 7200 RPM 8MB Cache SATA 3.0Gb/s 3.5"" Hard Drive Bare Drive",80,7200,SATA 3.0Gb/s,8,
HGST,"HGST Ultrastar 15K600 HUS156060VLS600(0B23663) 600GB 15000 RPM 64MB Cache SAS 6Gb/s 3.5"" Enterprise Hard Drive Bare Drive HGST Ultrastar 15K600 HUS156060VLS600(0B23663) 600GB 15000 RPM 64MB Cache SAS 6Gb/s 3.5"" Enterprise Hard Drive Bare Drive",600,15000,SAS 6.0Gb/s,64,
Seagate,"Seagate Barracuda 7200.10 ST3320820A 320GB 7200 RPM 8MB Cache IDE Ultra ATA100 / ATA-6 3.5"" Hard Drive Bare Drive Seagate Barracuda 7200.10 ST3320820A 320GB 7200 RPM 8MB Cache IDE Ultra ATA100 / ATA-6 3.5"" Hard Drive Bare Drive",320,7200,IDE Ultra ,8,Barracuda
Cisco Systems Inc.,"Cisco UCS-HDD300GI2F105= 300GB 15000 RPM SAS 6Gb/s 2.5"" Internal Hard Drive Cisco UCS-HDD300GI2F105= 300GB 15000 RPM SAS 6Gb/s 2.5"" Internal Hard Drive",300,15000,SAS 6.0Gb/s,,
IBM,"IBM 44W2245 600GB 15000 RPM SAS 6Gb/s 3.5"" Internal Hard Drive IBM 44W2245 600GB 15000 RPM SAS 6Gb/s 3.5"" Internal Hard Drive",600,15000,SAS 6.0Gb/s,,
Hewlett-Packard,"HP 507616-B21 2TB 7200 RPM SAS 6Gb/s 3.5"" Internal Hard Drive HP 507616-B21 2TB 7200 RPM SAS 6Gb/s 3.5"" Internal Hard Drive",2048,7200,SAS 6.0Gb/s,,
Axiom,Axiom AXD-PE100072F6 1 TB 3.5' Internal Hard Drive Axiom AXD-PE100072F6 1 TB 3.5' Internal Hard Drive,1024,,,,
"WL 5TB 64MB Cache 5700RPM SATA III (6.0Gb/s) (Quiet & Heavy Duty) 3.5"" Internal Hard Drive (For Destkop PC/Mac NAS CCTV DVR) -w/ 1 Year Warranty","WL 5TB 64MB Cache 5700RPM SATA III (6.0Gb/s) (Quiet & Heavy Duty) 3.5"" Internal Hard Drive (For Destkop PC/Mac NAS CCTV DVR) -w/ 1 Year Warranty WL 5TB 64MB Cache 5700RPM SATA III (6.0Gb/s) (Quiet & Heavy Duty) 3.5"" Internal Hard Drive (For Destkop PC/Mac NAS CCTV DVR) -w/ 1 Year Warranty",5000,,SATA 6.0Gb/s,64,
IBM,"IBM 49Y1861 450 GB 3.5"" Internal Hard Drive IBM 49Y1861 450 GB 3.5"" Internal Hard Drive",450,,,,
HGST,"HGST Ultrastar 7K4000 HUS724040ALE640(0F14683) 4TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Enterprise Hard Drive Bare Drive HGST Ultrastar 7K4000 HUS724040ALE640(0F14683) 4TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Enterprise Hard Drive Bare Drive",4000,7200,SATA 6.0Gb/s,64,
Toshiba,"TOSHIBA MK1002TSKB 1TB 7200 RPM 64MB Cache SATA 3.0Gb/s 3.5"" Enterprise Hard Drive TOSHIBA MK1002TSKB 1TB 7200 RPM 64MB Cache SATA 3.0Gb/s 3.5"" Enterprise Hard Drive",1024,7200,SATA 3.0Gb/s,64,
HGST,"HGST Ultrastar He8 HUH728080AL5204 (0F23657) 8TB 7200 RPM 128MB Cache SAS 12Gb/s 3.5"" Helium Platform Enterprise Hard Drive Bare Drive HGST Ultrastar He8 HUH728080AL5204 (0F23657) 8TB 7200 RPM 128MB Cache SAS 12Gb/s 3.5"" Helium Platform Enterprise Hard Drive Bare Drive",36,7200,SAS 12.0Gb/s,128,
HGST,"HGST HUS724030ALA640(0F14689) 3TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Enterprisel Hard Drive Bare Drive HGST HUS724030ALA640(0F14689) 3TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Enterprisel Hard Drive Bare Drive",3000,7200,SATA 6.0Gb/s,64,
Seagate,"Seagate Barracuda 7200.7 ST380013AS 80GB 7200 RPM 8MB Cache SATA 1.5Gb/s 3.5"" Hard Drive Bare Drive Seagate Barracuda 7200.7 ST380013AS 80GB 7200 RPM 8MB Cache SATA 1.5Gb/s 3.5"" Hard Drive Bare Drive",1500,7200,SATA 1.5Gb/s,8,Barracuda
IBM,"IBM 81Y9918 - 900GB 2.5"" SAS 10K 6Gb/s HS Hard Drive IBM 81Y9918 - 900GB 2.5"" SAS 10K 6Gb/s HS Hard Drive",900,10000,SAS 12.0Gb/s,,
